"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"chrome","1","249","2259592675328","103256064","124100608","17872","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","209.125","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","8",,"False",,"4248","Microsoft.Win32.SafeHandles.SafeProcessHandle","249","16280",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17872","17872","124100608","124100608","507656","507656","129814528","129814528","160780288","160780288","349245440","2263797010432","True","Normal","124100608","124100608","00:00:26.9843750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/9/2021 11:22:35 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:29.1250000","00:03:02.1406250","439877632","2259592675328","False",,,,"103256064","103256064",,
"chrome","1","298","2259611287552","50896896","37277696","18144","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","40.515625","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","8",,"False",,"6288","Microsoft.Win32.SafeHandles.SafeProcessHandle","298","21624",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18144","18144","37277696","37277696","505608","505608","45334528","45334528","75804672","75804672","349249536","2263797014528","True","Normal","37277696","37277696","00:00:06.1718750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/10/2021 6:50:41 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:40.5156250","00:00:34.3437500","458489856","2259611287552","False",,,,"50896896","50896896",,
"chrome","1","257","2259584397312","65761280","35766272","17872","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.40625","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","8",,"False",,"7452","Microsoft.Win32.SafeHandles.SafeProcessHandle","257","25400",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17872","17872","35766272","35766272","579776","579776","37089280","37089280","65978368","65978368","349245440","2263797010432","True","Normal","35766272","35766272","00:00:00.0625000","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:36:22 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.3437500","431599616","2259584397312","False",,,,"65761280","65761280",,
"chrome","1","615","2259832905728","348905472","356384768","38816","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","286.3125","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","4",,"False",,"5564","Microsoft.Win32.SafeHandles.SafeProcessHandle","615","25788",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38816","38816","356384768","356384768","720456","720456","397156352","397156352","445427712","445427712","349245440","2263797010432","True","Idle","356384768","356384768","00:00:20.3593750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/12/2021 8:44:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:46.3125000","00:04:25.9531250","680108032","2259832905728","False",,,,"348905472","348905472",,
"chrome","1","222","2259581722624","27770880","14303232","15288","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","0.078125","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","4",,"False",,"6332","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","26600",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15288","15288","14303232","14303232","538200","538200","14303232","14303232","27770880","27770880","349245440","2263797010432","True","Idle","14303232","14303232","00:00:00.0468750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:52:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0312500","428924928","2259581722624","False",,,,"27770880","27770880",,
"chrome","1","325","2259638927360","86114304","59297792","20728","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google LLC","2.6875","93.0.4577.63","93.0.4577.63","Google Chrome","Google Chrome","Process","4",,"False",,"5848","Microsoft.Win32.SafeHandles.SafeProcessHandle","325","30624",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20728","20728","59297792","59297792","590440","590440","80261120","80261120","130359296","130359296","349245440","2263797010432","True","Idle","59297792","59297792","00:00:00.3750000","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 9:27:43 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6875000","00:00:02.3125000","486129664","2259638927360","False",,,,"86114304","86114304",,
"Code","1","235","2237994532864","22810624","9998336","12688","C:\Users\169user\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.015625","1.60.0","1.60.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"5596","Microsoft.Win32.SafeHandles.SafeProcessHandle","235","940",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12688","12688","9998336","9998336","423976","423976","10006528","10006528","25763840","25763840","332013568","2238009974784","True","Normal","9998336","9998336","00:00:00.0156250","Code","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:13:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","316571648","2237994532864","False",,,,"22810624","22810624",,
"Code","1","722","2238737760256","382128128","358653952","28864","C:\Users\169user\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","54.53125","1.60.0","1.60.0","Visual Studio Code","Visual Studio Code","Process","10",,"False",,"4776","Microsoft.Win32.SafeHandles.SafeProcessHandle","722","2372",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28864","28864","358653952","358653952","986152","986152","443768832","443768832","475664384","475664384","1165443072","2238843404288","True","AboveNormal","358653952","358653952","00:00:09.1406250","Code","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:13:42 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:54.5312500","00:00:45.3906250","1059799040","2238737760256","False",,,,"382128128","382128128",,
"Code","1","174","2242296631296","65761280","19267584","12688","C:\Users\169user\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.265625","1.60.0","1.60.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3396","Microsoft.Win32.SafeHandles.SafeProcessHandle","174","8448",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12688","12688","19267584","19267584","448544","448544","22417408","22417408","75988992","75988992","348868608","2246616764416","True","Normal","19267584","19267584","00:00:00.0468750","Code","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:13:49 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.2187500","323702784","2242296631296","False",,,,"65761280","65761280",,
"Code","1","180","2242338574336","63361024","21987328","13432","C:\Users\169user\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.3125","1.60.0","1.60.0","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4440","Microsoft.Win32.SafeHandles.SafeProcessHandle","180","14008",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13432","13432","21987328","21987328","448560","448560","26603520","26603520","76701696","76701696","348868608","2246616764416","True","Normal","21987328","21987328","00:00:00.0781250","Code","255","True","1","System.Diagnostics.ProcessStartInfo","9/13/2021 11:13:45 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3125000","00:00:00.2343750","365645824","2242338574336","False",,,,"63361024","63361024",,
