"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"MicrosoftEdgeSH","1","279","2237838811136","0","4562944","14848","C:\Windows\system32\MicrosoftEdgeSH.exe","Microsoft Corporation","0.40625","11.00.19041.1 (WinBuild.160101.0800)","11.00.19041.1","Microsoft Edge Web Platform","Microsoft Edge Web Platform","Process","8",,"False",,"2748","Microsoft.Win32.SafeHandles.SafeProcessHandle","279","1200",".","0","","System.Diagnostics.ProcessModule (MicrosoftEdgeSH.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14848","14848","4562944","4562944","245856","245856","9097216","9097216","14200832","14200832","167899136","2237845860352","True","Normal","4562944","4562944","00:00:00.1250000","MicrosoftEdgeSH","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 4:30:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.2812500","160849920","2237838811136","False",,,,"0","0",,
"msdtc","0","222","2203402567680","0","2887680","13224","C:\Windows\System32\msdtc.exe","Microsoft Corporation","0.09375","2001.12.10941.16384 (WinBuild.160101.0800)","10.0.19041.1","Microsoft Distributed Transaction Coordinator Service","Microsoft? Windows? Operating System","Process","8",,"False",,"3272","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","2272",".","0","","System.Diagnostics.ProcessModule (msdtc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13224","13224","2887680","2887680","90456","90456","3936256","3936256","11698176","11698176","87490560","2203405713408","True","Normal","2887680","2887680","00:00:00.0781250","msdtc","3","True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:50:06 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0156250","84344832","2203402567680","False",,,,"0","0",,
"MsMpEng","0","599","2203818373120","25423872","164462592","66984",,,"22.78125",,,,,"Process","8",,,,,,"599","2404",".","0","",,,,,"66984","66984","164462592","164462592","572904","572904","169529344","169529344","151719936","151719936","521367552","2203839590400",,,"164462592","164462592","00:00:08.0625000","MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:49 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:22.7812500","00:00:14.7187500","500150272","2203818373120","False",,,,"25423872","25423872",,
"NisSrv","0","199","2203427098624","933888","5492736","16400",,,"0.046875",,,,,"Process","8",,,,,,"199","3288",".","0","",,,,,"16400","16400","5492736","5492736","116368","116368","7450624","7450624","9789440","9789440","111603712","2203429826560",,,"5492736","5492736","00:00:00.0468750","NisSrv",,"True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:50:20 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","108875776","2203427098624","False",,,,"933888","933888",,
"OneDrive","1","433","235225088","1282048","8626176","31824","C:\Users\vagrant\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","0.265625","19.043.0304.0013","19.043.0304.0013","Microsoft OneDrive","Microsoft OneDrive","Process","8",,"False",,"2980","Microsoft.Win32.SafeHandles.SafeProcessHandle","433","6004",".","0","","System.Diagnostics.ProcessModule (OneDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31824","31824","8626176","8626176","312656","312656","9195520","9195520","33468416","33468416","244400128","244400128","True","Normal","8626176","8626176","00:00:00.2187500","OneDrive","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:51:27 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.0468750","235225088","235225088","False",,,,"1282048","1282048",,
"OneDriveStandaloneUpdater","1","333","155037696","868352","3805184","17016","C:\Users\vagrant\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","Microsoft Corporation","0.140625","19.043.0304.0013","19.043.0304.0013","Standalone Updater","Microsoft OneDrive","Process","6",,"False",,"3384","Microsoft.Win32.SafeHandles.SafeProcessHandle","333","7012",".","0","","System.Diagnostics.ProcessModule (OneDriveStandaloneUpdater.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17016","17016","3805184","3805184","181984","181984","3948544","3948544","11669504","11669504","157659136","157659136","True","BelowNormal","3805184","3805184","00:00:00.0781250","OneDriveStandaloneUpdater","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 6:26:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0625000","155037696","155037696","False",,,,"868352","868352",,
"powershell_ise","1","813","5420392448","98557952","159461376","62056","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","Microsoft Corporation","108.328125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows PowerShell ISE","Microsoft? Windows? Operating System","Process","8",,"False",,"4008","Microsoft.Win32.SafeHandles.SafeProcessHandle","813","3040",".","66520","Administrator: Windows PowerShell ISE","System.Diagnostics.ProcessModule (powershell_ise.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","62056","62056","159461376","159461376","941232","941232","230113280","230113280","178528256","178528256","1161396224","5456363520","True","Normal","159461376","159461376","00:00:50.6093750","powershell_ise","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 3:36:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:48.3281250","00:00:57.7187500","1125425152","5420392448","False",,,,"98557952","98557952",,
"Registry","0","0","84623360","577536","3911680","8568",,,"0.859375",,,,,"Process","8",,,,,,"0","92",".","0","",,,,,"8568","8568","3911680","3911680","169504","169504","6795264","6795264","77139968","77139968","89161728","89161728",,,"3911680","3911680","00:00:00.8593750","Registry",,"True","0","System.Diagnostics.ProcessStartInfo","11/23/2020 2:49:03 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8593750","00:00:00","84623360","84623360","False",,,,"577536","577536",,
"RuntimeBroker","1","307","2203470905344","475136","5537792","16312","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","0.25","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"3536","Microsoft.Win32.SafeHandles.SafeProcessHandle","307","1176",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16312","16312","5537792","5537792","229632","229632","6660096","6660096","26439680","26439680","166449152","2203484672000","True","Normal","5537792","5537792","00:00:00.1406250","RuntimeBroker","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 2:53:24 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2500000","00:00:00.1093750","152682496","2203470905344","False",,,,"475136","475136",,
"RuntimeBroker","1","286","2203462979584","487424","4833280","15768","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","0.140625","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","Runtime Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"3728","Microsoft.Win32.SafeHandles.SafeProcessHandle","286","1604",".","0","","System.Diagnostics.ProcessModule (RuntimeBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15768","15768","4833280","4833280","216904","216904","6017024","6017024","23019520","23019520","160337920","2203478560768","True","Normal","4833280","4833280","00:00:00.1093750","RuntimeBroker","3","True","1","System.Diagnostics.ProcessStartInfo","11/23/2020 3:36:03 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0312500","144756736","2203462979584","False",,,,"487424","487424",,
